listing_id,number_of_reviews,first_review,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
158953,2,7/28/11,9/17/11,0.04,96,9,10,10,10,9,9
160222,53,7/20/11,10/10/15,0.98,93,9,9,10,10,10,9
170273,120,7/25/11,10/18/15,2.22,99,10,10,10,10,10,10
170469,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173896,102,8/1/11,12/17/15,1.89,95,9,10,10,10,10,9
174636,32,8/19/11,8/26/15,0.6,95,9,9,10,10,9,9
175576,181,7/21/11,11/25/15,3.33,97,10,10,10,10,10,10
176678,57,4/10/12,10/10/15,1.25,97,9,10,10,10,9,10
178844,2,11/27/15,12/9/15,1.54,100,10,10,10,10,10,10
180939,93,7/31/11,10/30/15,1.72,94,10,10,10,10,9,10
182716,63,8/5/11,10/26/15,1.17,99,10,10,10,10,10,10
186328,1,11/8/13,11/8/13,0.04,NA,NA,NA,NA,NA,NA,NA
189156,106,9/6/11,12/29/15,2.01,96,10,9,10,10,10,10
190984,51,5/14/14,8/31/15,2.55,87,9,9,9,9,7,8
193371,25,9/21/12,8/8/15,0.62,97,10,10,10,10,10,9
193836,92,8/14/11,12/29/15,1.72,93,9,9,10,10,9,9
194313,67,10/11/11,1/2/16,1.3,97,10,10,10,10,10,10
202174,14,7/30/12,10/2/15,0.33,96,10,10,10,10,9,9
202251,11,7/24/14,10/19/15,0.62,95,10,10,10,10,9,9
202260,134,8/26/11,12/22/15,2.52,98,10,10,10,10,10,10
206781,18,7/16/14,10/29/15,1,96,9,9,10,10,10,9
208356,474,9/5/11,12/24/15,8.98,95,10,10,10,10,9,9
208670,78,2/13/12,11/9/15,1.65,91,9,9,9,9,10,9
210316,22,6/9/14,12/7/15,1.15,91,9,9,10,10,9,9
215882,179,11/5/11,12/13/15,3.53,97,10,10,10,10,9,10
215954,19,7/1/12,8/31/15,0.44,98,10,9,10,10,10,10
217142,47,10/21/11,1/2/16,0.92,95,10,10,10,10,10,9
218741,115,6/18/12,10/17/15,2.66,95,10,10,10,10,10,10
219532,41,5/19/12,9/28/15,0.93,95,9,9,10,10,9,9
224763,27,1/30/12,11/15/15,0.56,93,9,10,10,9,10,9
226495,42,4/28/12,9/8/15,0.94,89,9,9,10,9,9,9
226536,25,11/13/11,10/29/15,0.5,91,8,9,10,10,9,9
226677,48,11/7/11,11/27/15,0.95,93,9,9,9,10,9,9
227636,131,11/9/11,12/29/15,2.59,97,10,10,10,10,9,10
231097,106,10/3/11,11/18/15,2.05,98,10,10,10,10,9,10
233502,1,6/6/12,6/6/12,0.02,90,6,8,10,10,10,10
234898,69,11/28/11,12/20/15,1.38,96,10,10,10,10,10,10
240920,15,8/1/12,8/1/15,0.36,97,10,9,10,10,10,10
241016,17,12/10/13,12/26/15,0.67,95,10,9,10,10,9,9
241032,207,11/1/11,1/2/16,4.07,95,10,10,10,10,9,10
244499,34,8/23/12,8/11/15,0.83,96,10,10,10,10,10,10
251922,122,11/7/11,11/11/15,2.41,95,9,10,10,10,10,9
254340,86,12/12/11,11/11/15,1.74,98,10,10,10,10,10,10
257140,20,11/6/11,12/3/15,0.39,93,9,10,10,10,9,8
258571,278,11/30/11,11/16/15,5.57,89,9,8,9,10,9,9
260613,18,3/2/12,12/15/15,0.38,98,10,10,10,10,10,9
261912,28,4/30/12,12/29/15,0.62,96,10,10,10,10,10,10
262764,5,10/1/15,12/27/15,1.56,92,9,8,10,10,10,8
264829,41,12/12/11,3/19/15,0.83,89,8,8,9,10,8,9
265901,15,2/6/12,6/19/14,0.31,98,10,10,10,10,9,10
270370,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271509,12,9/4/12,3/28/15,0.3,100,10,10,10,10,10,10
277416,37,12/12/11,12/29/15,0.75,97,10,10,10,10,10,9
278192,14,3/20/12,7/22/14,0.3,95,9,8,10,10,8,9
278830,38,7/10/12,10/24/15,0.89,92,9,9,10,10,9,9
279063,294,1/10/12,1/1/16,6.06,91,9,9,9,10,10,9
281208,27,2/19/12,11/23/15,0.57,98,10,10,10,10,9,10
281789,5,2/6/12,3/5/15,0.1,100,10,10,10,10,10,10
282934,65,3/12/13,8/25/15,1.9,99,10,10,10,10,10,10
284087,75,2/28/12,12/25/15,1.6,94,10,9,9,10,10,9
284480,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284813,28,1/17/12,3/4/14,0.58,95,9,9,10,10,9,9
286080,26,12/27/11,7/15/15,0.53,93,9,9,10,9,9,9
286712,39,5/21/12,11/9/15,0.88,88,9,9,9,9,8,9
293890,19,2/15/12,4/22/14,0.4,85,8,8,9,9,9,8
299817,5,7/14/13,6/12/14,0.17,70,6,4,10,10,10,8
301059,12,3/17/12,8/4/15,0.26,96,10,10,10,10,10,9
314180,24,3/6/12,12/1/15,0.51,100,10,9,10,10,10,10
315120,71,4/1/12,12/30/15,1.55,99,10,10,10,10,9,10
317248,11,6/22/12,11/1/15,0.26,100,10,10,10,10,9,10
319768,5,4/2/12,12/28/13,0.11,100,10,8,10,10,9,10
320704,81,1/31/12,10/1/15,1.69,94,10,10,10,9,10,10
338043,8,10/7/15,12/1/15,2.67,95,10,10,10,10,10,9
338091,84,4/16/12,11/25/15,1.85,91,9,8,9,10,10,9
